'sample interval','left-foot'
'0.00333333 sec','mV'
3000,-0.013
3001,-0.011
3002,-0.010
3003,-0.007
3004,-0.003
3005,-0.003
3006,0.001
3007,0.003
3008,0.008
3009,0.012
3010,0.016
3011,0.020
3012,0.025
3013,0.029
3014,0.036
3015,0.042
3016,0.048
3017,0.053
3018,0.060
3019,0.063
3020,0.070
3021,0.075
3022,0.081
3023,0.085
3024,0.090
3025,0.095
3026,0.100
3027,0.104
3028,0.109
3029,0.112
3030,0.116
3031,0.119
3032,0.123
3033,0.126
3034,0.130
3035,0.132
3036,0.135
3037,0.138
3038,0.140
3039,0.142
3040,0.144
3041,0.146
3042,0.148
3043,0.149
3044,0.151
3045,0.153
3046,0.154
3047,0.155
3048,0.156
3049,0.155
3050,0.156
3051,0.156
3052,0.155
3053,0.154
3054,0.153
3055,0.152
3056,0.151
3057,0.149
3058,0.146
3059,0.144
3060,0.141
3061,0.138
3062,0.135
3063,0.132
3064,0.129
3065,0.127
3066,0.125
3067,0.124
3068,0.123
3069,0.122
3070,0.122
3071,0.121
3072,0.122
3073,0.122
3074,0.122
3075,0.124
3076,0.126
3077,0.127
3078,0.129
3079,0.130
3080,0.132
3081,0.134
3082,0.137
3083,0.138
3084,0.142
3085,0.144
3086,0.148
3087,0.151
3088,0.154
3089,0.156
3090,0.160
3091,0.163
3092,0.167
3093,0.170
3094,0.172
3095,0.175
3096,0.179
3097,0.181
3098,0.184
3099,0.187
3100,0.189
3101,0.191
3102,0.194
3103,0.196
3104,0.199
3105,0.201
3106,0.204
3107,0.206
3108,0.209
3109,0.211
3110,0.213
3111,0.217
3112,0.220
3113,0.222
3114,0.224
3115,0.226
3116,0.228
3117,0.230
3118,0.231
3119,0.233
3120,0.233
3121,0.234
3122,0.234
3123,0.235
3124,0.236
3125,0.236
3126,0.235
3127,0.233
3128,0.233
3129,0.232
3130,0.229
3131,0.228
3132,0.225
3133,0.223
3134,0.222
3135,0.220
3136,0.217
3137,0.216
3138,0.213
3139,0.213
3140,0.211
3141,0.211
3142,0.211
3143,0.214
3144,0.213
3145,0.213
3146,0.213
3147,0.215
3148,0.217
3149,0.219
3150,0.222
3151,0.224
3152,0.227
3153,0.230
3154,0.233
3155,0.234
3156,0.237
3157,0.239
3158,0.240
3159,0.241
3160,0.242
3161,0.243
3162,0.244
3163,0.243
3164,0.243
3165,0.242
3166,0.241
3167,0.239
3168,0.238
3169,0.236
3170,0.234
3171,0.229
3172,0.226
3173,0.222
3174,0.217
3175,0.213
3176,0.207
3177,0.200
3178,0.194
3179,0.188
3180,0.178
3181,0.170
3182,0.160
3183,0.147
3184,0.133
3185,0.119
3186,0.098
3187,0.082
3188,0.060
3189,0.034
3190,0.002
3191,-0.026
3192,-0.078
3193,-0.115
3194,-0.175
3195,-0.234
3196,-0.309
3197,-0.369
3198,-0.456
3199,-0.511
3200,-0.588
3201,-0.642
3202,-0.695
3203,-0.722
3204,-0.754
3205,-0.767
3206,-0.784
3207,-0.797
3208,-0.811
3209,-0.819
3210,-0.828
3211,-0.834
3212,-0.845
3213,-0.855
3214,-0.866
3215,-0.874
3216,-0.896
3217,-0.911
3218,-0.935
3219,-0.966
3220,-1.001
3221,-1.026
3222,-1.064
3223,-1.092
3224,-1.135
3225,-1.168
3226,-1.214
3227,-1.243
3228,-1.286
3229,-1.317
3230,-1.354
3231,-1.385
3232,-1.419
3233,-1.448
3234,-1.481
3235,-1.504
3236,-1.534
3237,-1.558
3238,-1.590
3239,-1.605
3240,-1.636
3241,-1.655
3242,-1.679
3243,-1.704
3244,-1.727
3245,-1.745
3246,-1.764
3247,-1.778
3248,-1.796
3249,-1.814
3250,-1.835
3251,-1.846
3252,-1.875
3253,-1.886
3254,-1.906
3255,-1.915
3256,-1.928
3257,-1.931
3258,-1.942
3259,-1.949
3260,-1.956
3261,-1.960
3262,-1.966
3263,-1.972
3264,-1.977
3265,-1.982
3266,-1.991
3267,-1.994
3268,-1.994
3269,-1.998
3270,-2.001
3271,-2.002
3272,-2.004
3273,-2.013
3274,-2.018
3275,-2.021
3276,-2.022
3277,-2.021
3278,-2.023
3279,-2.024
3280,-2.026
3281,-2.027
3282,-2.028
3283,-2.026
3284,-2.024
3285,-2.024
3286,-2.025
3287,-2.026
3288,-2.025
3289,-2.027
3290,-2.028
3291,-2.029
3292,-2.029
3293,-2.028
3294,-2.028
3295,-2.026
3296,-2.026
3297,-2.028
3298,-2.027
3299,-2.025
3300,-2.025
3301,-2.024
3302,-2.022
3303,-2.023
3304,-2.024
3305,-2.025
3306,-2.024
3307,-2.024
3308,-2.025
3309,-2.025
3310,-2.025
3311,-2.024
3312,-2.026
3313,-2.026
3314,-2.026
3315,-2.024
3316,-2.024
3317,-2.025
3318,-2.023
3319,-2.024
3320,-2.026
3321,-2.026
3322,-2.026
3323,-2.026
3324,-2.027
3325,-2.026
3326,-2.025
3327,-2.026
3328,-2.025
3329,-2.027
3330,-2.027
3331,-2.028
3332,-2.027
3333,-2.027
3334,-2.027
3335,-2.029
3336,-2.028
3337,-2.030
3338,-2.031
3339,-2.029
3340,-2.032
3341,-2.032
3342,-2.032
3343,-2.034
3344,-2.034
3345,-2.036
3346,-2.036
3347,-2.037
3348,-2.034
3349,-2.036
3350,-2.036
3351,-2.035
3352,-2.036
3353,-2.036
3354,-2.037
3355,-2.036
3356,-2.036
3357,-2.038
3358,-2.038
3359,-2.040
3360,-2.038
3361,-2.040
3362,-2.039
3363,-2.037
3364,-2.038
3365,-2.040
3366,-2.040
3367,-2.041
3368,-2.038
3369,-2.039
3370,-2.040
3371,-2.037
3372,-2.038
3373,-2.036
3374,-2.036
3375,-2.036
3376,-2.032
3377,-2.030
3378,-2.029
3379,-2.023
3380,-2.021
3381,-2.013
3382,-2.005
3383,-1.994
3384,-1.976
3385,-1.957
3386,-1.923
3387,-1.884
3388,-1.830
3389,-1.794
