'sample interval','left-foot'
'0.00333333 sec','mV'
15000,-0.583
15001,-0.584
15002,-0.586
15003,-0.586
15004,-0.589
15005,-0.591
15006,-0.595
15007,-0.595
15008,-0.597
15009,-0.599
15010,-0.602
15011,-0.601
15012,-0.600
15013,-0.602
15014,-0.605
15015,-0.608
15016,-0.610
15017,-0.612
15018,-0.610
15019,-0.613
15020,-0.613
15021,-0.613
15022,-0.615
15023,-0.615
15024,-0.615
15025,-0.614
15026,-0.615
15027,-0.614
15028,-0.614
15029,-0.613
15030,-0.611
15031,-0.610
15032,-0.608
15033,-0.606
15034,-0.605
15035,-0.604
15036,-0.604
15037,-0.601
15038,-0.600
15039,-0.597
15040,-0.594
15041,-0.592
15042,-0.591
15043,-0.588
15044,-0.588
15045,-0.587
15046,-0.584
15047,-0.583
15048,-0.583
15049,-0.582
15050,-0.558
15051,-0.529
15052,-0.472
15053,-0.410
15054,-0.316
15055,-0.208
15056,-0.091
15057,-0.023
15058,0.047
15059,0.076
15060,0.106
15061,0.126
15062,0.144
15063,0.156
15064,0.171
15065,0.180
15066,0.191
15067,0.199
15068,0.206
15069,0.210
15070,0.215
15071,0.219
15072,0.222
15073,0.225
15074,0.228
15075,0.231
15076,0.232
15077,0.234
15078,0.236
15079,0.237
15080,0.238
15081,0.240
15082,0.242
15083,0.244
15084,0.247
15085,0.251
15086,0.254
15087,0.257
15088,0.260
15089,0.263
15090,0.266
15091,0.269
15092,0.272
15093,0.275
15094,0.277
15095,0.279
15096,0.281
15097,0.283
15098,0.285
15099,0.287
15100,0.289
15101,0.290
15102,0.292
15103,0.293
15104,0.294
15105,0.295
15106,0.295
15107,0.295
15108,0.296
15109,0.296
15110,0.296
15111,0.296
15112,0.295
15113,0.294
15114,0.293
15115,0.292
15116,0.291
15117,0.289
15118,0.287
15119,0.286
15120,0.283
15121,0.281
15122,0.278
15123,0.276
15124,0.275
15125,0.273
15126,0.271
15127,0.268
15128,0.266
15129,0.263
15130,0.261
15131,0.260
15132,0.258
15133,0.256
15134,0.254
15135,0.253
15136,0.251
15137,0.249
15138,0.247
15139,0.245
15140,0.242
15141,0.241
15142,0.238
15143,0.237
15144,0.235
15145,0.233
15146,0.231
15147,0.230
15148,0.228
15149,0.227
15150,0.224
15151,0.222
15152,0.221
15153,0.219
15154,0.217
15155,0.215
15156,0.212
15157,0.209
15158,0.206
15159,0.203
15160,0.201
15161,0.199
15162,0.196
15163,0.194
15164,0.190
15165,0.188
15166,0.188
15167,0.186
15168,0.185
15169,0.183
15170,0.182
15171,0.180
15172,0.179
15173,0.178
15174,0.176
15175,0.175
15176,0.174
15177,0.172
15178,0.172
15179,0.171
15180,0.169
15181,0.169
15182,0.169
15183,0.168
15184,0.166
15185,0.166
15186,0.169
15187,0.168
15188,0.169
15189,0.169
15190,0.171
15191,0.172
15192,0.174
15193,0.174
15194,0.176
15195,0.177
15196,0.179
15197,0.179
15198,0.181
15199,0.182
15200,0.184
15201,0.185
15202,0.186
15203,0.187
15204,0.188
15205,0.188
15206,0.190
15207,0.190
15208,0.191
15209,0.192
15210,0.192
15211,0.193
15212,0.194
15213,0.195
15214,0.195
15215,0.195
15216,0.194
15217,0.194
15218,0.194
15219,0.193
15220,0.191
15221,0.190
15222,0.188
15223,0.185
15224,0.182
15225,0.179
15226,0.174
15227,0.170
15228,0.162
15229,0.153
15230,0.142
15231,0.132
15232,0.114
15233,0.100
15234,0.081
15235,0.065
15236,0.047
15237,0.035
15238,0.012
15239,-0.004
15240,-0.030
15241,-0.053
15242,-0.088
15243,-0.120
15244,-0.159
15245,-0.179
15246,-0.210
15247,-0.235
15248,-0.264
15249,-0.285
15250,-0.319
15251,-0.340
15252,-0.368
15253,-0.391
15254,-0.426
15255,-0.445
15256,-0.477
15257,-0.497
15258,-0.486
15259,-0.483
15260,-0.481
15261,-0.481
15262,-0.499
15263,-0.509
15264,-0.525
15265,-0.531
15266,-0.541
15267,-0.544
15268,-0.547
15269,-0.547
15270,-0.547
15271,-0.549
15272,-0.546
15273,-0.547
15274,-0.548
15275,-0.546
15276,-0.545
15277,-0.543
15278,-0.543
15279,-0.543
15280,-0.543
15281,-0.544
15282,-0.544
15283,-0.545
15284,-0.547
15285,-0.546
15286,-0.548
15287,-0.549
15288,-0.550
15289,-0.551
15290,-0.551
15291,-0.551
15292,-0.552
15293,-0.552
15294,-0.551
15295,-0.551
15296,-0.551
15297,-0.552
15298,-0.554
15299,-0.556
15300,-0.556
15301,-0.557
15302,-0.557
15303,-0.557
15304,-0.559
15305,-0.560
15306,-0.560
15307,-0.560
15308,-0.561
15309,-0.561
15310,-0.564
15311,-0.563
15312,-0.565
15313,-0.567
15314,-0.566
15315,-0.567
15316,-0.570
15317,-0.571
15318,-0.574
15319,-0.574
15320,-0.574
15321,-0.576
15322,-0.577
15323,-0.578
15324,-0.579
15325,-0.579
15326,-0.582
15327,-0.582
15328,-0.586
15329,-0.589
15330,-0.589
15331,-0.592
15332,-0.593
15333,-0.594
15334,-0.598
15335,-0.601
15336,-0.604
15337,-0.605
15338,-0.607
15339,-0.607
15340,-0.607
15341,-0.607
15342,-0.608
15343,-0.606
15344,-0.607
15345,-0.606
15346,-0.605
15347,-0.604
15348,-0.604
15349,-0.603
15350,-0.602
15351,-0.602
15352,-0.601
15353,-0.602
15354,-0.599
15355,-0.599
15356,-0.595
15357,-0.593
15358,-0.593
15359,-0.592
15360,-0.589
15361,-0.588
15362,-0.586
15363,-0.584
15364,-0.582
15365,-0.580
15366,-0.581
15367,-0.580
15368,-0.579
15369,-0.579
15370,-0.571
15371,-0.545
15372,-0.515
15373,-0.454
15374,-0.380
15375,-0.322
15376,-0.201
15377,-0.118
15378,-0.020
15379,0.038
15380,0.078
15381,0.098
15382,0.119
15383,0.131
15384,0.146
15385,0.158
15386,0.171
15387,0.178
15388,0.190
15389,0.196
15390,0.202
15391,0.207
15392,0.210
15393,0.213
15394,0.217
15395,0.219
15396,0.222
15397,0.225
15398,0.227
15399,0.229
15400,0.231
15401,0.232
15402,0.235
15403,0.237
15404,0.240
15405,0.241
15406,0.243
15407,0.245
15408,0.248
15409,0.250
15410,0.254
15411,0.256
15412,0.260
15413,0.262
15414,0.264
15415,0.266
15416,0.268
15417,0.270
15418,0.272
15419,0.273
15420,0.275
15421,0.277
15422,0.278
15423,0.280
15424,0.282
15425,0.283
15426,0.284
15427,0.285
